Scenario,Eff delta mean,Eff delta SD,Eff delta CI low,Eff delta CI high,Share runs positive,Defect delta mean,Defect delta CI low,Defect delta CI high,AI benefit score,Trust calibration
S1_high_trust_high_reliability,2.617,3.923,2.072,3.162,0.775,-4.969,-6.178,-3.76,55.456,96.532
S2_over_trust_low_reliability,-0.611,4.071,-1.177,-0.046,0.48,-2.08,-3.403,-0.757,24.581,62.187
