ai_support_level,trust_in_ai,ai_reliability,n,eff_delta,eff_delta_se,ci_low,ci_high,ci_excludes_zero,share_positive,defect_delta,trust_calibration_with
0.8,0.85,0.3,200,0.3243,0.3214,-0.3057,0.9543,False,0.565,-1.9529,55.337
0.8,0.85,0.35,200,0.3821,0.3053,-0.2162,0.9804,False,0.535,-2.4965,59.167
0.8,0.85,0.4,200,0.474,0.3092,-0.132,1.0801,False,0.545,-2.1083,62.997
0.8,0.85,0.45,200,0.5097,0.3228,-0.123,1.1423,False,0.56,-1.6999,66.828
0.8,0.85,0.5,200,0.8469,0.3107,0.2379,1.4558,True,0.545,-2.0638,70.658
0.8,0.85,0.55,200,0.9659,0.2862,0.4049,1.5269,True,0.575,-1.6506,74.488
0.8,0.85,0.6,200,1.3791,0.2748,0.8406,1.9177,True,0.615,-2.0478,78.319
0.8,0.85,0.65,200,1.4862,0.2615,0.9737,1.9987,True,0.62,-2.1562,82.149
0.8,0.85,0.7,200,1.7198,0.272,1.1866,2.253,True,0.65,-2.7062,85.979
0.8,0.85,0.75,200,2.0782,0.2563,1.5758,2.5805,True,0.69,-3.4971,89.792
0.8,0.85,0.8,200,2.4556,0.2519,1.9619,2.9493,True,0.74,-3.8576,93.376
0.8,0.85,0.85,200,2.722,0.2814,2.1705,3.2735,True,0.765,-3.6104,96.153
0.8,0.85,0.9,200,2.7915,0.2822,2.2384,3.3447,True,0.775,-3.9534,96.683
0.8,0.85,0.95,200,2.8584,0.2869,2.2961,3.4208,True,0.72,-3.977,94.652
