ai_support_level,trust_in_ai,ai_reliability,n,eff_delta,eff_delta_se,ci_low,ci_high,ci_excludes_zero,share_positive,defect_delta,trust_calibration_with
0.8,0.65,0.3,200,0.4204,0.2862,-0.1406,0.9814,False,0.545,-2.5311,68.763
0.8,0.65,0.35,200,0.7852,0.309,0.1795,1.3908,True,0.555,-3.5992,72.594
0.8,0.65,0.4,200,0.9148,0.2964,0.334,1.4957,True,0.57,-2.7395,76.424
0.8,0.65,0.45,200,1.1573,0.2871,0.5945,1.7201,True,0.59,-2.8749,80.254
0.8,0.65,0.5,200,1.5006,0.2772,0.9572,2.044,True,0.63,-3.261,84.085
0.8,0.65,0.55,200,1.562,0.2726,1.0278,2.0963,True,0.685,-3.8354,87.899
0.8,0.65,0.6,200,1.5391,0.2861,0.9783,2.0999,True,0.675,-3.5326,91.55
0.8,0.65,0.65,200,1.8252,0.2742,1.2878,2.3625,True,0.695,-3.8604,94.58
0.8,0.65,0.7,200,2.16,0.2647,1.6413,2.6788,True,0.73,-4.3576,95.982
0.8,0.65,0.75,200,2.1838,0.2721,1.6505,2.7172,True,0.69,-4.309,95.189
0.8,0.65,0.8,200,2.1873,0.2773,1.6437,2.7308,True,0.715,-4.1437,92.54
0.8,0.65,0.85,200,2.3196,0.2806,1.7695,2.8696,True,0.72,-4.4555,89.032
0.8,0.65,0.9,200,2.0459,0.2763,1.5044,2.5874,True,0.695,-3.4007,85.268
0.8,0.65,0.95,200,2.278,0.281,1.7273,2.8287,True,0.695,-3.5618,81.442
