trust_in_ai,n_crossings,first_crossing_reliability,all_crossings,benefit_at_lowest_reliability,benefit_at_highest_reliability,sign_at_0.30,sign_at_0.95,first_reliability_with_ci_above_zero
0.65,0,,,0.6037,2.097,positive,positive,0.3
0.85,0,,,0.0792,2.4254,positive,positive,0.45
