ai_support_level,trust_in_ai,n_crossings,first_crossing_reliability,all_crossings,benefit_at_0.30,benefit_at_0.95,first_reliability_with_ci_above_zero,last_reliability_with_ci_below_zero
0.8,0.65,0,,,0.2749,2.2931,0.5,
0.8,0.85,0,,,0.3243,2.8584,0.5,
