scenario,label,n,base_seed,eff_with_mean,eff_without_mean,eff_delta_mean,eff_delta_sd,eff_delta_se,eff_delta_ci_low,eff_delta_ci_high,eff_share_positive,defect_with_mean,defect_without_mean,defect_delta_mean,defect_delta_ci_low,defect_delta_ci_high,velocity_delta_mean,velocity_delta_ci_low,velocity_delta_ci_high,completion_delta_mean,completion_delta_ci_low,completion_delta_ci_high,dq_delta_mean,ci_delta_mean,viability_delta_mean,sustainability_delta_mean,ai_benefit_score_mean,trust_calibration_with_mean,trust_calibration_without_mean
A_safety_critical_embedded,Scenario A: safety-critical embedded (EBCU/ICU),200,42,77.816,75.866,1.9508,3.9953,0.2832,1.3957,2.5059,0.695,18.489,21.95,-3.4618,-4.6948,-2.2287,1.1196,0.6218,1.6173,2.5029,1.3008,3.7049,9.384,1.863,1.673,-0.435,41.746,93.753,91.845
B_large_scale_enterprise,Scenario B: large-scale enterprise IS (pension),200,42,75.044,73.986,1.0585,3.0932,0.2193,0.6287,1.4883,0.65,16.157,19.653,-3.4965,-4.339,-2.6541,0.4738,0.0156,0.9319,0.3384,-0.5391,1.216,9.253,2.001,1.924,-0.761,40.812,93.791,91.895
