trust_in_ai,ai_reliability,n,eff_delta,eff_delta_se,ci_low,ci_high,ci_excludes_zero,share_positive,defect_delta,defect_delta_ci_low,defect_delta_ci_high,trust_calibration_with,trust_calibration_without
0.85,0.3,200,0.0792,0.3059,-0.5205,0.6788,False,0.51,-0.7458,-1.9509,0.4593,55.337,41.698
0.85,0.35,200,0.3905,0.2925,-0.1828,0.9637,False,0.555,-1.4374,-2.6544,-0.2205,59.167,46.698
0.85,0.4,200,0.4207,0.2998,-0.167,1.0084,False,0.525,-1.7062,-3.0009,-0.4115,62.997,51.698
0.85,0.45,200,0.9902,0.2728,0.4555,1.5248,True,0.58,-1.5929,-2.8329,-0.353,66.828,56.698
0.85,0.5,200,1.1217,0.2768,0.5792,1.6641,True,0.6,-1.5798,-2.8382,-0.3213,70.658,61.698
0.85,0.55,200,1.2577,0.2857,0.6978,1.8177,True,0.585,-2.2437,-3.4942,-0.9932,74.488,66.698
0.85,0.6,200,1.302,0.2728,0.7673,1.8368,True,0.615,-2.227,-3.3942,-1.0599,78.319,71.698
0.85,0.65,200,1.3428,0.286,0.7822,1.9034,True,0.63,-2.3778,-3.5408,-1.2147,82.149,76.698
0.85,0.7,200,1.6338,0.2815,1.0821,2.1855,True,0.67,-2.8715,-4.082,-1.661,85.979,81.698
0.85,0.75,200,1.7774,0.279,1.2305,2.3242,True,0.71,-3.0458,-4.3108,-1.7808,89.792,86.675
0.85,0.8,200,2.1475,0.2808,1.5972,2.6979,True,0.71,-3.6291,-4.9192,-2.3391,93.376,91.354
0.85,0.85,200,2.2397,0.2764,1.698,2.7814,True,0.71,-3.5972,-4.9051,-2.2893,96.153,94.979
0.85,0.9,200,2.284,0.2723,1.7503,2.8177,True,0.72,-3.5861,-4.9018,-2.2704,96.683,95.67
0.85,0.95,200,2.4254,0.2798,1.8771,2.9738,True,0.685,-3.4104,-4.7234,-2.0974,94.652,93.019
